Case_Study,Scenario,Reference,WaterType
Ashkelon,Baseline,NAWI,Seawater
Carlsbad,Baseline,NAWI,Seawater
Tampa_Bay,Baseline,NAWI,Seawater
Santa_Barbara,Baseline,NAWI,Seawater
KBHDP,Baseline,NAWI,
EMWD,Baseline,NAWI,
Irwin,Baseline,NAWI,
Battery_Park,Baseline,NAWI,
Big_Spring,Baseline,NAWI,
HRSD,Baseline,NAWI,
OCWD,Baseline,NAWI,
Cherokee,Baseline,NAWI,
Uranium,Baseline,NAWI,
San_Luis,Baseline,NAWI,
Iron_and_Steel,Baseline,NAWI,
Vogtle_Nuclear,Baseline,NAWI,
Damodar,Baseline,NAWI,
Kern_County,Baseline,NAWI,
Ultra_Pure_Water,Baseline,NAWI,
Pulp_and_Paper,Baseline,NAWI,
Monterey_One_Water,Baseline,NAWI,
Tuscarora,Baseline,NAWI,
Lithium,Baseline,NAWI,
Iatan_Coal,Baseline,NAWI,
Heap_Leaching,Baseline,NAWI,