eqn,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,pct_deviation,date_modified,r_squared,max_size,min_size
back_pump_eq,0,0,0,0,0,0,0,-0.000467922,12.09884477,6672.346155,13.37%, 6/21/2017 4:05:02 PM,0.931958204,10001,0
bldg_hi_eq,324.1826469,-0.132300065,0,0,0,0,0,0,0,0,3.99%, 6/23/2017 3:04:02 PM,0.952922882,200000.1,0
bldg_lo_eq,150.4663907,-0.096925794,0,0,0,0,0,0,0,0,2.55%, 6/23/2017 3:03:10 PM,0.967147293,200000.1,0
bldg_mid_eq,184.6789937,-0.09824021,0,0,0,0,0,0,0,0,2.75%, 6/23/2017 3:03:32 PM,0.963882478,200000.1,0
ci_bfv_eq_large,50.76512698,1.589939094,0,0,0,0,0,0,0,0,6.05%, 6/21/2017 3:59:11 PM,0.989139908,48.1,14
ci_bfv_eq_small,0,0,0,0,0,0,-0.443473112,12.76880242,121.7001439,29.97208276,4.42%, 6/21/2017 3:58:12 PM,0.990172685,12,1
ci_chv_eq,0,0,0,0,0,0,0.998552278,-6.098668912,403.850148,-514.9922671,10.50%, 6/21/2017 4:03:19 PM,0.994272709,24.1,2
ci_mov_eq,0,0,0,0,0,0,-0.064880837,28.44450095,68.99684845,1015.350532,9.87%, 6/23/2017 10:28:52 AM,0.970249103,48.1,1
cpvc_pipe_eq,0,0,0,0,0,0,0.00925292,0.543237018,3.024366182,0.944771283,9.95%, 6/21/2017 12:21:08 PM,0.99695752,18.1,0
cs_pv_eq,0,0,0,0,0,0,0,-0.00005872,10.51093861,14726.68155,14.00%, 6/20/2017 11:44:20 AM,0.983076076,27101,0
csp_pv_eq,0,0,0,0,0,0,0.000000005,-0.000159072,6.568048146,9906.477485,7.30%, 6/20/2017 11:44:43 AM,0.997859422,27101,0
cst_heat_eq,0,0,0,0,0,0,0.000000001,-0.000024227,0.258585871,1418.580072,5.89%, 6/21/2017 10:55:41 AM,0.909005473,30001,0
cst_insul_eq,16.18343805,0.649522043,0,0,0,0,0,0,0,0,6.10%, 6/21/2017 10:55:29 AM,0.989970173,30001,0
di_pipe_eq,0,0,0,0,0,0,0,0.0947759,4.790327955,11.72851845,5.56%, 6/21/2017 10:56:31 AM,0.989821708,48.1,4
fg_bwt_eq,0,0,0,0,0,0,0,-0.000008895,1.587245247,5286.135896,20.34%, 6/20/2017 12:02:28 PM,0.896106689,50001,0
fg_cst_eq,0,0,0,0,0,0,0,-0.000023101,1.74137529,4585.483585,15.41%, 6/20/2017 12:10:04 PM,0.886530237,30001,0
fg_pv_eq,0,0,0,0,0,0,0,-0.00057214,18.63957594,756.3454469,2.30%, 6/20/2017 11:51:53 AM,0.998840364,901,0
fg_saltbox_eq,0,0,0,0,0,0,0.138344669,-20.12458004,1351.844644,15828.59327,3.56%, 6/21/2017 4:44:06 PM,0.983979441,75.1,0
gac_slurry_eq,0,0,0,0,0,0,0,0.000022497,0.043621634,7143.934346,0.00%, 6/21/2017 4:10:39 PM,1,31242,0
hdpe_bwt_eq,0,0,0,0,0,0,0,-0.000007082,1.020527551,1185.361283,20.80%, 6/20/2017 12:04:08 PM,0.892846188,15001,0
hvac_ac_eq,2517.03808,1.168812894,0,0,0,0,0,0,0,0,4.44%, 10/17/2017 10:32:24 AM,0.994059247,113.33,0
hvac_elec_eq,1399.015433,0.752486412,0,0,0,0,0,0,0,0,19.94%, 10/17/2017 10:33:04 AM,0.972280792,6148.1,0
hvac_gas_eq,780.319943,0.778810032,0,0,0,0,0,0,0,0,13.37%, 10/17/2017 10:34:00 AM,0.942319751,5032.1,0
hvac_gas_non_eq,780.319943,0.778810032,0,0,0,0,0,0,0,0,13.37%, 10/17/2017 10:33:37 AM,0.942319751,5032.1,0
hvac_hp_eq_large,2100.955742,0.874996813,0,0,0,0,0,0,0,0,5.27%, 6/23/2017 3:08:16 PM,0.986527146,50.01,12
hvac_hp_eq_small,0,0,0,0,3162.065483,0.150464002,0,0,0,0,8.95%, 6/23/2017 3:07:28 PM,0.973248113,12,0
hvac_oil_mid_eq,931.1841008,0.758949775,0,0,0,0,0,0,0,0,8.50%, 10/17/2017 10:34:48 AM,0.987963867,3350.1,0
hvac_oil_std_eq,931.1841008,0.758949775,0,0,0,0,0,0,0,0,8.50%, 10/17/2017 10:34:25 AM,0.987963867,3350.1,0
imp_mix_eq,4305.48947,0.626243436,0,0,0,0,0,0,0,0,13.45%, 6/21/2017 4:32:10 PM,0.88383983,110,0
mag_fm_eq,0,0,0,0,0,0,0,56.41874171,185.4434934,3549.646118,9.85%, 6/23/2017 1:20:53 PM,0.989238737,20.1,0
mount_mix_eq,0,0,0,0,0,0,0,-105.9030377,1212.481536,1616.960566,7.71%, 6/21/2017 4:31:48 PM,0.914599505,4.1,0
op_fm_eq,0,0,0,0,0,0,0.097957253,-4.383599187,363.6476941,2505.954411,4.78%, 6/23/2017 1:19:01 PM,0.999316498,60.1,0
pl_cst_eq,0,0,0,0,0,0,0,0.000028624,1.542885519,773.8285146,28.93%, 6/20/2017 12:06:10 PM,0.93683558,6601,0
pl_eductor_eq,0,0,0,0,375.9823119,0.602947037,0,0,0,0,7.22%, 6/21/2017 4:38:27 PM,0.990450716,3.1,0
pl_saltbox_eq,0,0,0,0,0,0,-0.01158282,-1.951912339,565.5248017,21152.09834,8.27%, 6/21/2017 4:44:31 PM,0.672692637,80.1,23
pp_chv_eq,0,0,0,0,0,0,0,29.05743239,41.15718672,41.98796389,19.76%, 6/21/2017 4:02:12 PM,0.982304558,12.1,0
pp_man_eq_large,0,0,0,0,0,0,22.30025789,-1282.044463,25673.26432,-162055.4444,1.27%, 6/21/2017 3:55:57 PM,0.998848223,24.1,14
pp_man_eq_small,0,0,0,0,0,0,2.727129527,-29.26938628,178.3802096,26.23562317,13.59%, 6/21/2017 3:55:11 PM,0.972146242,12,0
pp_mov_eq_large,0,0,0,0,0,0,9.39851643,-558.7274647,12544.51358,-82391.1311,1.34%, 6/23/2017 11:56:12 AM,0.998412938,24.1,14
pp_mov_eq_small,0,0,0,0,439.3853472,0.212664842,0,0,0,0,13.05%, 6/23/2017 11:55:40 AM,0.974861492,12,0
prop_fm_eq,0,0,0,0,0,0,8.745107924,-168.9746008,1267.944728,643.1120557,10.53%, 6/23/2017 1:19:43 PM,0.919995351,14.1,0
pump_eq,0,0,0,0,0,0,0,-0.000467922,12.09884477,6672.346155,13.37%, 6/21/2017 4:04:31 PM,0.931958204,10001,0
pvc_empump_eq,841.4837783,0.297238954,0,0,0,0,0,0,0,0,34.01%, 6/21/2017 4:07:27 PM,0.724127053,71.16,0
pvc_mmpump_eq,2131.017319,0.15164036,0,0,0,0,0,0,0,0,9.98%, 6/21/2017 4:05:33 PM,0.860719096,108.01,0
pvc_pipe_eq,0,0,0,0,0,0,0,0.104376414,0.212173712,2.276782637,32.55%, 6/21/2017 11:02:23 AM,0.995073543,48.1,0
seductor_eq,0,0,0,0,0,0,0,0,2905.857768,-2698.454911,10.61%, 6/21/2017 4:42:21 PM,0.973168445,6.1,1.5
septic_tank_eq,0,0,0,0,0,0,0,-0.000002532,1.821301315,-658.644155,14.74%, 8/17/2015 2:37:21 PM,0.995122357,100001,750
ss_chv_eq,0,0,0,0,0,0,0,31.22016133,300.8432045,95.60064806,18.39%, 6/21/2017 4:01:20 PM,0.993101016,48.1,0
ss_cst_eq,0,0,0,0,0,0,0,-0.000008386,2.862939133,4567.354162,4.84%, 6/20/2017 12:07:44 PM,0.997455678,30001,0
ss_eductor_eq,0,0,0,0,0,0,0,130.774937,517.9660801,227.1268421,21.55%, 6/21/2017 4:40:16 PM,0.849424625,8,0
ss_empump_eq,1639.620796,0.215673063,0,0,0,0,0,0,0,0,12.61%, 6/21/2017 4:07:58 PM,0.942518066,186.36,0
ss_man_eq,219.9087906,1.684831267,0,0,0,0,0,0,0,0,43.17%, 6/21/2017 3:40:26 PM,0.906860739,12.1,1
ss_mmpump_eq,0,0,0,0,0,0,-0.000050447,0.023222424,6.980446136,4385.360561,14.11%, 6/21/2017 4:06:06 PM,0.555494329,360.01,0
ss_mov_eq,0,0,0,0,0,0,0,75.65821756,386.9778023,199.1378722,15.75%, 6/23/2017 12:02:57 PM,0.996059478,48.1,0
ss_pipe_eq,30.64548851,0.979401509,0,0,0,0,0,0,0,0,48.77%, 6/21/2017 11:03:32 AM,0.930388031,48.1,0
ss_pv_eq,0,0,0,0,0,0,0,-0.000076738,15.4441586,15601.13939,13.66%, 6/20/2017 11:43:02 AM,0.987571869,27101,0
st_bwt_eq,355.93975,0.522116207,0,0,0,0,0,0,0,0,31.30%, 6/20/2017 11:52:42 AM,0.626018161,282095,0
st_pipe_eq,0,0,0,0,0,0,0.006634131,-0.638131479,21.06271018,-5.141982997,13.81%, 6/21/2017 11:04:26 AM,0.940008615,48.1,1
ven_fm_eq,0,0,0,0,0,0,8.228279249,-257.2857211,3322.365777,-213.6489575,2.79%, 6/23/2017 1:19:18 PM,0.999673684,24.1,0
vol_feed_eq,0,0,0,0,0,0,0,0,369.9241534,14910.73709,4.86126E-05, 6/21/2017 4:43:24 PM,0.999997229,2.51,0