unit_process,case_study,scenario,units,value,constituent,calculation_type,reference,data_reference,constituent_longform
aeration_basin1,default,baseline,kg/m3,0.5,nonvolatile_toc,fractional_constituent_removal,nawi,Pulp and paper case study.,Nonvolatile TOC
aeration_basin1,default,baseline,kg/m3,0.7,bod,fractional_constituent_removal,nawi,Pulp and paper case study.,Biological Oxygen Demand (BOD)
aeration_basin1,default,baseline,kg/m3,0.7,cod,fractional_constituent_removal,nawi,Pulp and paper case study.,Chemical Oxygen Demand (COD)
aeration_basin1,default,baseline,kg/m3,0.70854,toc,fractional_constituent_removal,nawi,Pulp and paper case study.,Total Organic Carbon (TOC)
aeration_basin1,default,baseline,kg/m3,0.88,eeq,fractional_constituent_removal,nawi,Pulp and paper case study.,Estradiol Equivalency (EEQ)
aeration_basin1,default,baseline,kg/m3,0.99,viruses_enteric,fractional_constituent_removal,nawi,Pulp and paper case study.,Viruses (enteric)
aeration_basin1,default,baseline,kg/m3,0.998798,total_coliforms_fecal_ecoli,fractional_constituent_removal,nawi,Pulp and paper case study.,Total Coliforms (including fecal coliform and� E. Coli)
aeration_basin1,default,baseline,%,60,ultraviolet_transmittance_uvt,absolute_value,nawi,Pulp and paper case study.,Ultraviolet Transmittance (UVT)
aeration_basin2,default,baseline,kg/m3,0.5,bod,fractional_constituent_removal,nawi,Pulp and paper case study.,Biological Oxygen Demand (BOD)
aeration_basin2,default,baseline,kg/m3,0.5,thallium,fractional_constituent_removal,nawi,Pulp and paper case study.,Thallium
anaerobic_digestion_oxidation,default,baseline,kg/m3,0.75,tss,fractional_constituent_removal,nawi,Beef Processing case study.,Total Suspended Solids (TSS)
anaerobic_digestion_oxidation,default,baseline,kg/m3,0.97,bod,fractional_constituent_removal,nawi,Beef Processing case study.,Biological Oxygen Demand (BOD)
anion_exchange_epa,default,baseline,kg/m3,0.9,tds,fractional_constituent_removal,nawi,,
backwash_solids_handling,default,baseline,kg/m3,0.95,nitrate,fractional_constituent_removal,nawi,default,Nitrate (measured as Nitrogen)
backwash_solids_handling,default,baseline,kg/m3,0.95,toc,fractional_constituent_removal,nawi,default,Total Organic Carbon (TOC)
backwash_solids_handling,default,baseline,kg/m3,0.95,tss,fractional_constituent_removal,nawi,default,Total Suspended Solids (TSS))
bio_active_filtration,default,baseline,kg/m3,0.2,nonvolatile_toc,fractional_constituent_removal,nawi,Texas Water Development Board IT3PR User Manual,Nonvolatile TOC
bio_active_filtration,default,baseline,kg/m3,0.5,tss,fractional_constituent_removal,nawi,Texas Water Development Board IT3PR User Manual,Total Suspended Solids (TSS)
bio_active_filtration,default,baseline,%,85,ultraviolet_transmittance_uvt,absolute_value,nawi,Texas Water Development Board IT3PR User Manual,Ultraviolet Transmittance (UVT)
bioreactor,default,baseline,kg/m3,0.8,boron,fractional_constituent_removal,nawi,Texas Water Development Board IT3PR User Manual,"Boron, dissolved"
bioreactor,default,baseline,kg/m3,0.965,selenium,fractional_constituent_removal,nawi,Texas Water Development Board IT3PR User Manual,Selenium
brine_concentrator,default,baseline,kg/m3,0.98,alkalinity_as_caco3,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,aluminum,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,arsenic,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,barium,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,bicarbonate_alkalinity_as_caco3,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,boron,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,bromide,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,calcium,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,chloride,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,chromium,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,cyanide_as_free,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,S/m,0.98,electrical_conductivity,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,fluoride,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,hardness,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,iron,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,lead,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,magnesium,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,manganese,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,mercury,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,nickel,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,nitrate,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,nitrate_as_nitrogen,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,nitrite_as_nitrogen,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,phosphates,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,potassium,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,selenium,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,silicon,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,silver,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,sodium,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,strontium,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,sulfate,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,tds,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,total_coliforms_fecal_ecoli,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,trihalomethanes,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,tss,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,turbidity,fractional_constituent_removal,nawi,default,
brine_concentrator,default,baseline,kg/m3,0.98,zinc,fractional_constituent_removal,nawi,default,
brine_concentrator,upw,baseline,kg/m3,0.9,tds,fractional_constituent_removal,nawi,default,
brine_ro,uranium,baseline,kg/m3,0.992348,bicarbonate_alkalinity_as_caco3,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Bicarbonate Alkalinity as CaCO3
brine_ro,uranium,baseline,kg/m3,0.992348,bromide,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Bromide
brine_ro,uranium,baseline,kg/m3,0.992348,calcium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Calcium, Dissolved"
brine_ro,uranium,baseline,kg/m3,0.992348,chloride,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Chloride
brine_ro,uranium,baseline,kg/m3,0.992348,fluoride,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Fluoride
brine_ro,uranium,baseline,kg/m3,0.992348,magnesium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Magnesium, Dissolved"
brine_ro,uranium,baseline,kg/m3,0.992348,potassium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Potassium
brine_ro,uranium,baseline,kg/m3,0.992348,silicon,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Silicon
brine_ro,uranium,baseline,kg/m3,0.992348,sodium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Sodium, Dissolved"
brine_ro,uranium,baseline,kg/m3,0.992348,strontium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Strontium
brine_ro,uranium,baseline,kg/m3,0.992348,sulfate,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Sulfate, Dissolved"
brine_ro,uranium,baseline,kg/m3,0.992348,tds,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Total Dissolved Solids (TDS)
cartridge_filtration,default,baseline,kg/m3,0.2,nonvolatile_toc,fractional_constituent_removal,nawi,Texas Water Development Board IT3PR User Manual,Nonvolatile TOC
cartridge_filtration,default,baseline,kg/m3,0.5,tss,fractional_constituent_removal,nawi,Texas Water Development Board IT3PR User Manual,Total Suspended Solids (TSS)
cartridge_filtration,default,baseline,fraction,70,ultraviolet_transmittance_uvt,absolute_value,nawi,Texas Water Development Board IT3PR User Manual,Ultraviolet Transmittance (UVT)
cas,default,baseline,kg/m3,0.5,nonvolatile_toc,fractional_constituent_removal,nawi,Texas Water Development Board IT3PR User Manual,Nonvolatile TOC
cas,default,baseline,kg/m3,0.5,tss,fractional_constituent_removal,nawi,Texas Water Development Board IT3PR User Manual,Total Suspended Solids (TSS)
cas,default,baseline,kg/m3,0.70854,toc,fractional_constituent_removal,nawi,Texas Water Development Board IT3PR User Manual,Total Organic Carbon (TOC)
cas,default,baseline,kg/m3,0.88,eeq,fractional_constituent_removal,nawi,Texas Water Development Board IT3PR User Manual,Estradiol Equivalency (EEQ)
cas,default,baseline,kg/m3,0.99,viruses_enteric,fractional_constituent_removal,nawi,Texas Water Development Board IT3PR User Manual,Viruses (enteric)
cas,default,baseline,kg/m3,0.998798,total_coliforms_fecal_ecoli,fractional_constituent_removal,nawi,Texas Water Development Board IT3PR User Manual,Total Coliforms (including fecal coliform and� E. Coli)
cas,default,baseline,%,60,ultraviolet_transmittance_uvt,absolute_value,nawi,Texas Water Development Board IT3PR User Manual,Ultraviolet Transmittance (UVT)
cas_denitrif,default,baseline,kg/m3,0.5,tss,fractional_constituent_removal,nawi,Texas Water Development Board IT3PR User Manual,Total Suspended Solids (TSS)
cas_denitrif,default,baseline,kg/m3,0.7,nonvolatile_toc,fractional_constituent_removal,nawi,Texas Water Development Board IT3PR User Manual,Nonvolatile TOC
cas_denitrif,default,baseline,kg/m3,0.70854,toc,fractional_constituent_removal,nawi,Texas Water Development Board IT3PR User Manual,Total Organic Carbon (TOC)
cas_denitrif,default,baseline,kg/m3,0.8,nitrate,fractional_constituent_removal,nawi,Texas Water Development Board IT3PR User Manual,"Nitrate-N, Dissolved"
cas_denitrif,default,baseline,kg/m3,0.88,eeq,fractional_constituent_removal,nawi,Texas Water Development Board IT3PR User Manual,Estradiol Equivalency (EEQ)
cas_denitrif,default,baseline,kg/m3,0.99,viruses_enteric,fractional_constituent_removal,nawi,Texas Water Development Board IT3PR User Manual,Viruses (enteric)
cas_denitrif,default,baseline,kg/m3,0.998798,total_coliforms_fecal_ecoli,fractional_constituent_removal,nawi,Texas Water Development Board IT3PR User Manual,Total Coliforms (including fecal coliform and� E. Coli)
cas_denitrif,default,baseline,%,70,ultraviolet_transmittance_uvt,absolute_value,nawi,Texas Water Development Board IT3PR User Manual,Ultraviolet Transmittance (UVT)
cas_nitrif,default,baseline,kg/m3,0.5,nonvolatile_toc,fractional_constituent_removal,nawi,Texas Water Development Board IT3PR User Manual,Nonvolatile TOC
cas_nitrif,default,baseline,kg/m3,0.5,tss,fractional_constituent_removal,nawi,Texas Water Development Board IT3PR User Manual,Total Suspended Solids (TSS)
cas_nitrif,default,baseline,kg/m3,0.70854,toc,fractional_constituent_removal,nawi,Texas Water Development Board IT3PR User Manual,Total Organic Carbon (TOC)
cas_nitrif,default,baseline,kg/m3,0.88,eeq,fractional_constituent_removal,nawi,Texas Water Development Board IT3PR User Manual,Estradiol Equivalency (EEQ)
cas_nitrif,default,baseline,kg/m3,0.99,viruses_enteric,fractional_constituent_removal,nawi,Texas Water Development Board IT3PR User Manual,Viruses (enteric)
cas_nitrif,default,baseline,kg/m3,0.998798,total_coliforms_fecal_ecoli,fractional_constituent_removal,nawi,Texas Water Development Board IT3PR User Manual,Total Coliforms (including fecal coliform and� E. Coli)
cas_nitrif,default,baseline,%,70,ultraviolet_transmittance_uvt,absolute_value,nawi,Texas Water Development Board IT3PR User Manual,Ultraviolet Transmittance (UVT)
chlorination,default,baseline,kg/m3,0.999148,total_coliforms_fecal_ecoli,fractional_constituent_removal,nawi,Texas Water Development Board IT3PR User Manual,Total Coliforms (including fecal coliform and� E. Coli)
chlorination,default,baseline,kg/m3,0.999664,viruses_enteric,fractional_constituent_removal,nawi,Texas Water Development Board IT3PR User Manual,Viruses (enteric)
clarifier,default,baseline,kg/m3,0.990826,tss,fractional_constituent_removal,nawi,"Based on ""Sedimentation"" cost model. See references in VAR. There will be minimal water losses.",Total Suspended Solids (TSS)
coag_and_floc,default,baseline,kg/m3,0.95,tss,fractional_constituent_removal,nawi,"(1) https://www.mrwa.com/WaterWorksMnl/Chapter%2012%20Coagulation.pdf, (2) Cost Estimating Manual for Water Treatment Facilities (McGivney/Kawamura), (3) https://www.iwapublishing.com/news/coagulation-and-flocculation-water-and-wastewater-treatment, (4) Water and Wastewater Engineering: Design Principles and Practice (Mackenzie L. Davis).",Total Suspended Solids (TSS)
crystallizer,default,baseline,kg/m3,0.98,alkalinity_as_caco3,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,aluminum,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,arsenic,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,barium,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,bicarbonate_alkalinity_as_caco3,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,boron,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,bromide,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,calcium,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,chloride,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,chromium,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,cyanide_as_free,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,S/m,0.98,electrical_conductivity,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,fluoride,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,hardness,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,iron,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,lead,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,magnesium,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,manganese,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,mercury,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,nickel,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,nitrate,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,nitrate_as_nitrogen,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,nitrite_as_nitrogen,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,phosphates,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,potassium,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,selenium,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,silicon,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,silver,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,sodium,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,strontium,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,sulfate,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,tds,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,total_coliforms_fecal_ecoli,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,trihalomethanes,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,tss,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,turbidity,fractional_constituent_removal,nawi,default,
crystallizer,default,baseline,kg/m3,0.98,zinc,fractional_constituent_removal,nawi,default,
crystallizer,upw,baseline,kg/m3,0.9,tds,fractional_constituent_removal,nawi,default,
dissolved_air_flotation,default,baseline,kg/m3,0.95,bod,fractional_constituent_removal,nawi,Beef Processing case study.,Biological Oxygen Demand (BOD)
dissolved_air_flotation,default,baseline,kg/m3,0.95,oil_and_grease,fractional_constituent_removal,nawi,Beef Processing case study.,Oil and Grease
dissolved_air_flotation,default,baseline,kg/m3,0.95,tss,fractional_constituent_removal,nawi,Beef Processing case study.,Total Suspended Solids (TSS)
dual_media_filtration,default,baseline,kg/m3,0.2,nonvolatile_toc,fractional_constituent_removal,nawi,Monterey case study.,Nonvolatile TOC
dual_media_filtration,default,baseline,kg/m3,0.2,toc,fractional_constituent_removal,nawi,Monterey case study.,Total Organic Carbon (TOC)
dual_media_filtration,default,baseline,kg/m3,0.97,tss,fractional_constituent_removal,nawi,Monterey case study.,Total Suspended Solids (TSS)
dual_media_filtration,default,baseline,%,70,ultraviolet_transmittance_uvt,absolute_value,nawi,Monterey case study.,Ultraviolet Transmittance (UVT)
electrodialysis_reversal,default,baseline,pH,-0.77,ph_max,delta_constituent_or_property,nawi,Irwin case study.,pH_Max
electrodialysis_reversal,default,baseline,pH,-0.77,ph_min,delta_constituent_or_property,nawi,Irwin case study.,pH_Min
electrodialysis_reversal,default,baseline,kg/m3,0.808696,tds,fractional_constituent_removal,nawi,Irwin case study.,Total Dissolved Solids (TDS)
electrodialysis_reversal,default,baseline,kg/m3,0.823529,fluoride,fractional_constituent_removal,nawi,Irwin case study.,Fluoride
electrodialysis_reversal,default,baseline,kg/m3,0.830347,bicarbonate_alkalinity_as_caco3,fractional_constituent_removal,nawi,Irwin case study.,Bicarbonate Alkalinity as CaCO3
electrodialysis_reversal,default,baseline,kg/m3,0.869487,sodium,fractional_constituent_removal,nawi,Irwin case study.,"Sodium, Dissolved"
electrodialysis_reversal,default,baseline,kg/m3,0.881773,nitrate,fractional_constituent_removal,nawi,Irwin case study.,"Nitrate-N, Dissolved"
electrodialysis_reversal,default,baseline,kg/m3,0.881773,nitrate_as_nitrogen,fractional_constituent_removal,nawi,Irwin case study.,Nitrate (measured as Nitrogen)
electrodialysis_reversal,default,baseline,kg/m3,0.891013,chloride,fractional_constituent_removal,nawi,Irwin case study.,Chloride
electrodialysis_reversal,default,baseline,kg/m3,0.892,arsenic,fractional_constituent_removal,nawi,Irwin case study.,Arsenic
electrodialysis_reversal,default,baseline,kg/m3,0.898876,potassium,fractional_constituent_removal,nawi,Irwin case study.,Potassium
electrodialysis_reversal,default,baseline,kg/m3,0.904762,magnesium,fractional_constituent_removal,nawi,Irwin case study.,"Magnesium, Dissolved"
electrodialysis_reversal,default,baseline,kg/m3,0.923325,sulfate,fractional_constituent_removal,nawi,Irwin case study.,"Sulfate, Dissolved"
electrodialysis_reversal,default,baseline,kg/m3,0.924528,hardness,fractional_constituent_removal,nawi,Irwin case study.,Hardness
